notaword | No sentence found.
untar | —Cuando regrese, infórmele de que partiremos de Unta a toda prisa.
contestar | Molk, con la cabeza ladeada para escuchar la noche, le contestó con un susurro.
alcanzar | —No creas que estás fuera del alcance de la emperatriz —dijo entre dientes.
falta | Da igual, cuando alcancemos el puerto, esos cawneses se acercarán sin falta.
acordar | Debemos llegar allí antes de que se alcance algún tipo de acuerdo.
librar | —Se llegó a un acuerdo y sois libres de iros —dijo Viajero.
ganar | —Podrían ganar mucho llegando a tiempo para librarla…
oportunidad | ¡Oponn nos libre! Quizá al final hasta tuvieran una oportunidad.
ola | —Estamos perdidos, señor —exclamó él por encima de las olas.
filar | Tras ellos, los soldados seguían marchando, desapareciendo bajo las olas fila tras fila.
aplastar | —La Guardia Carmesí quiere ver aplastado el Imperio.
herbar | El viento aplastó las hierbas pesadas.
guerra | Son ellos los que ganan las guerras.
desear | Todo lo que un hombre de guerra deseaba, si ganaban.
estremecer | Pero tal y como estaba, a Noche ya le sirvió para estremecerse.
sorprender | El anciano se estremeció, sorprendido otra vez.
ceja | La mujer alzó las cejas, sorprendida.
ocultar | Anand frunció el ceño, las cejas blancas se acercaron tanto que casi ocultaron los ojos.
cuidar | Otra presencia, oculta con más cuidado incluso, esperaba.
oeste | Cruce, diríjase al oeste.
rápido | El agua clara corría hacia el oeste a su alrededor, poco profunda pero rápida.
nervioso | Taya y él intercambiaron una mirada rápida y nerviosa.
mirada | Nervioso, Arrojo y Risueño le lanzaron a su comandante miradas sorprendidas.
hora | —Cámbiese, rápido, salimos a caballo en menos de una hora.
sugerir | —Hora de huir —sugirió Fochas.
mesar | Algo más tarde, esa misma noche, Arrojo le sugirió algo a la mesa.
arrastrar | Nevall inclinó la barbilla a modo de saludo y arrastró los pies hasta su mesa.
apenar | Ahora, sin embargo, apenas puedo reunir las fuerzas para seguir adelante.
distanciar | Tres más se encontraban en pie a cierta distancia, los ojos muy abiertos.
cubrir | dónde se podía encontrar una batalla a la distancia que pudiera cubrir un caballo
cielo | Devaleth alzó los ojos al cielo cubierto y murmuró maldiciones para sí en korelano.
figurar | La figura se detuvo ante él, a una distancia segura.
colina | Se habían reunido allí todos los soldados solo para cubrir la colina de muertos
detrás | —Pues yo diría que es esa grande de la colina —sugirió Molk detrás de ella.
sujetar | Pero Sessin ya estaba allí, saltando por detrás de Yath para sujetar al juramentado.
pierna | Se sujetó la pierna.
hundir | Se dio un golpe en la cabeza y el cuerpo y las piernas se hundieron.
reconocer | Noche miró, lo reconoció, se levantó con una mueca y se apoyó en una pierna.
obviar | Quizá pensaba que era demasiado obvio para comentarlo.
polvo | —¡De mujer, por supuesto! ¿Es que no es obvio? —Y se alejó arrastrándose y levantando polvo.
recuperar | Jorrude recuperó su yelmo y le quitó el polvo.
surgir | Surgían entre la hierba, disparaban y volvían a agacharse.
atacar | Solo el dalhonesio los siguió para continuar sacando partido del ataque.
poblar | Más que hablar con los nabrajanos, su pueblo lo que hacía era atacarlos.
mercenario | He oído que el ataque de unos mercenarios le costó muy caro.
inmóvil | El mercenario salió y arrastró una forma inmóvil hasta la orilla.
ruido | —Shhh —dijo sin ruido y esperó, inmóvil en las sombras.
padre | ¡Vaya! ¡Era él! El padre Cielo de su pueblo.
trabajar | Mientras trabajaba, Arrojo pensó otra vez en su padre.
saboteador | —En pie toda la noche con los saboteadores, ayudándolos a ocultar su trabajo.
cuánto | Noche se preguntó cuánto tiempo duraría eso.
dentrar | No hay forma de saber quién está dentro ni cuántos.
mar | Uno no se hunde en este mar.
respuesta | Como única respuesta, la maga del mar señaló lo que tenían delante.
retroceder | —Viajero retrocedió con cuidado y con los ojos entrecerrados.
visión | Los magos habían avanzado y aparecido en su campo de visión.
muerte | —Te estás muriendo —dijo la visión de la muerte—.
siete | Una mujer gritó para preguntar si acababan de regresar de Siete Ciudades.
cuadrillo | Conté siete cuadrillos de ballesta en su cuerpo.
escudar | Sisearon los cuadrillos, golpearon el escudo y tiraron de ella, pero no se detuvo.
débil | Se apoyó en su escudo, de repente tenía las piernas débiles.
rodilla | De repente sentía las rodillas muy débiles.
chamán | Al acercarse, reconoció al chamán, Aguaclara, hundido hasta las rodillas.
señal | El chamán asintió y le hizo señal a un guardia, que se alejó a caballo.
cuatro | Quedan cuatro de mí que siguen vivos.
trapo | La figura agitó una mano envuelta en trapos.
rezongar | —No me gusta esto —rezongó Nervioso.
desgarrar | Parecía que el mago supremo intentaba meterlo a la fuerza por su propio desgarro.
escaramuzador | Por qué no lanzar los escaramuzadores y hacer la señal de avanzar
romper | —¡Vamos a romper el frente de escaramuzadores aquí o morir! —Señaló a los jóvenes—.
fila | ¡Rompan filas! Salvo por los sargentos de saboteadores.
movimiento | Un movimiento por detrás, entre las filas, y una mano golpeó el hombro de Noche.
copar | Ghelel se sentó con movimientos pesados y se sirvió otra copa de vino.
tragar | Ullen se tomó de un trago la copa antes de contestar.
guerrero | Con un movimiento de las rodillas, el guerrero hizo retroceder a su montura.
tanto | Dónde había reunido Imotan a tantos guerreros
salvaje | Hubiera dicho que usted estaría de acuerdo con ese tal Salvaje.
bramar | —¡Alto el fuego! ¡Alto el fuego! —oyó Noche que los sargentos bramaban entre los escaramuzadores.
dormir | En las últimas noches apenas había dormido.
amanecer | Y ahora —dijo—, sugiero que intentemos dormir un poco antes del amanecer.
pálido | El amanecer llegó como oscuridad, tan pálido y débil era.
lento | —Cuanto más grandes son, más lentos —dijo Acecho mientras les metía prisa.
extrañar | —A muchos de los juramentados les extraña que estés aquí con nosotros, Melena Gris.
lucir | Kyle también echaba miradas rápidas, pero no veía nada más que luces extrañas en el cielo.
incapaz | Por alguna razón era incapaz de tirarlo.
aguardar | Ni siquiera la muerte os aguarda ya.
teniente | —El teniente se sacudió, maldijo a los idiotas que aguardaban bajo sus pies.
columna | —Ya hace rato que pasó la columna, teniente.
espaciar | Un hombre con armadura ocupaba el espacio entre dos columnas.
tocar | Ho estiró la mano poco a poco para tocar la punta.
unir | Estaba a punto de unirse a la fila cuando Acecho le tocó el brazo.
garganta | Después metió los dedos bajo la barbilla del guardia para aplastarle la garganta.
sombrar | Tú podrías llamarlo la senda de Sombra, o Meanas, o como quieras.
redondo | ¡Sombra! Giró en redondo y encontró lo que buscaba: el mago, a cierta distancia.
cabello | Cabello largo y negro.
revelar | Su luz carmesí revelaba lo que aguardaba más adelante… nada.
diosa | Un lugar donde el dios del mar envía a aquellos que maldice.
asesinar | Habéis asesinado a un dios de mi pueblo
compañía | Tarkhan, capitán y asesino de la compañía.
ejército | Storo Matash, capitán de una compañía de saboteadores, veterano del Tercer Ejército
explicar | Ahora tengo que explicarles a los míos por qué y cómo acabamos de cambiar de ejército.
tampoco | Nunca explicó tampoco por qué no murió defendiendo a su dios-ciudad.
niña | Ni una señal de ningún niño, ni de lucha tampoco.
dulce | Dulce Muchacho rezongó algo y señaló la boca del puerto.
respirar | Y entonces, ¡gracias a Soliel!, respiró, aire limpio y dulce.
crispar | Zarigüeya cerró la boca de golpe y crispó las manos para que se llenaran.
rostro | El rostro se le crispó de dolor.
distinguir | Genist oyó las respuestas que exclamaban, pero no distinguió las palabras.
inquietar | Parecía inquieto mientras sacaba y examinaba la hoja de su cuchillo—.
posar | La mirada que posaba en la anciana parecía inquieta, cosa poco propia de ella.
ah | —¡Ah, eso! No tengo ni idea.
doblar | Una espalda tan tensa que Zarigüeya imaginó que era incapaz de doblarse.
cuero | Le metieron un cuero doblado en la boca a la fuerza.
frotar | Acecho apretó una saquita de cuero que llevaba al cuello y después la frotó.
sitiar | Puede que sea tu última oportunidad de salir de este sitio antes de que te mueras.
arrodillar | Humo se arrodilló e hizo algo con las manos sobre el suelo de piedra.
yacer | Regalo estaba allí, arrodillado al lado de su amigo, que yacía inmóvil.
terreno | Kyle estudió los terrenos, estaba claro que nadie subía allí jamás.
asombrado | Asombrado, Rillish dejó que su caballo perdiera terreno y regresara a la fila.
simple | Con cuidado, asombrada por el simple hecho de continuar con vida, Trémula se levantó.
perdido | Kyle se adelantó un poco y recuperó el terreno perdido.
absoluto | Pero ¿un niño? En absoluto.
hacendar | Pero tengo que saber lo que estáis haciendo vosotros dos.
grito | —¿Qué estáis haciendo aquí? —contestó a gritos con una mueca de dolor.
resonar | De repente resonaron unos gritos en la oscuridad.
interior | Una maldición resonó en el interior del yelmo.
bosque | Malas Tierras y Fochas asintieron y echaron a correr hacia el interior del bosque.
preocupar | Jhest, sin embargo, no parecía en absoluto preocupado.
ordenar | —Debes ordenar a tus hombres que dejen caer las armas.
caballería | Cuando lo encontró le ordenó que regresara con la columna de caballería.
caudillo | —Asesinadlo y marchad —ordenó el caudillo.
guiñar | —Joroba sonrió y guiñó un ojo—.
sostener | Él le sostuvo la cabeza y después sacó la mano húmeda de sangre.
persona | La maga mare era la única persona que se sostenía sin ayuda sobre la cubierta.
resultar | La simple verdad era que resultaba demasiado grande para esas personas pequeñas.
especiar | Resultó que era una especie de veterano malazano que había servido con el sargento mayor.
luego | Kyle deseaba seguirlos, desde luego sabía que no debería quedarse.
madera | Trabaja la madera allí.
enemigo | El enemigo, Yath, estaba cerca del borde abierto y agitado del desgarro.
ladero | Una voz bramó y resonó por toda la ladera.
separar | Él cruzó el espacio que lo separaba de ella.
junto | Hombres y mujeres gritaban, corrían juntos, se separaban.
puesto | El viejo Orhan y yo podemos intercambiarnos el puesto.
hermandad | —La hermandad informa que es el mago supremo —dijo Trémula con tono asombrado.
mensajero | —La hermandad dice que ha llegado un mensajero en busca del comandante Urko.
enterar | El mensajero levantó la voz y se dirigió al fuerte entero.
exterior | —Que la compañía entera baje aquí, Dulce Muchacho —gritó Hojalatero dirigiéndose al exterior.
cicatriz | El largo cabello negro se agitaba alrededor de su rostro oscuro lleno de cicatrices.
sentado | Se arrodilló para apoyar la mano en la tierra donde se había sentado la mujer.
piel | Los viejos y las mujeres permanecían sentados a la entrada de las tiendas hechas de pieles.
estandarte | Guiñó los ojos y miró al jinete más cercano, estandarte de piel gris.
temblar | Los estandartes de poder temblaron como si los hubieran golpeado.
altura | A esas alturas la juramentada se había sentado en el suelo.
segundar | La segunda noche en el río después de eso empezó a preocuparse.
bravo | Diente Bravo le pidió que se acercara más con un ademán.
referir | La recordarías si la vieras, ya sabes a qué me refiero.
magistrado | —¿Fuerzas? ¿A qué fuerzas podría referirse usted? —preguntó el magistrado Plengyllen.
miembro | Magistrado Plengyllen, miembro de la Corte Suprema de Magistrados
ofrecer | La soldado se echó el escudo a la espalda y le ofreció el brazo.
objetivar | No tiene sentido ofrecerme como objetivo a lo que sea que aguarde oculto allí dentro.
asomar | Avanzaron arrastrándose y se asomaron para mirar el objetivo.
hueso | Los huesos de muchos guardias pueblan estos bosques del norte.
negar | Zarigüeya se negó a reconocer la atención.
amenazar | Todo el mundo hablaba a la vez, se quejaba, amenazaba, se negaba a moverse.
ademar | Además, a estas alturas me imagino que ya hace tiempo que se habrán ido.
menor | —Y además, ¿de dónde sacaste eso? —preguntó Menor.
encorvar | Se sentó encorvado, rodeándose con fuerza los brazos como si quisiera sujetarse el cuerpo.
recibir | ¡Que Viento me salve! Se fue echando hacia delante, encorvado para recibir pesados golpes.
izquierdo | Diente Bravo se pondrá a nuestro mando por la izquierda.
carne | Encuentro que me estoy haciendo más duro, pierdo carne, por así decirlo.
vengar | —¡Oh, dioses! ¡Venga ya, Seda! No hablarás en serio…
colgar | —Si la emperatriz se echa al campo de batalla, entonces Heng ya se puede colgar sola.
pechar | —Frotó la saquita que le colgaba del pecho—.
toser | Un segundo liosan se sentó también, tosía y se apretaba el pecho con cuidado.
despertar | Despertó tosiendo y escupiendo en una cubierta dura.
explorador | Al ver a Kyle despierto, el explorador rezongó y se apartó.
murar | Un gran muro de aire quitó el aliento a Trémula de un golpe en el pecho.
refugiar | Seguid corriendo, muchachos, buscad refugio, porque lo peor acaba de llegar.
sanador | No os molestéis, queridos sanadores, en despertarme.
traer | —Traed un sanador —les pidió Laseen a los soldados que habían llegado corriendo.
enorme | Los kanesianos se encogieron, los ojos enormes bajo los bordes de los yelmos.
forma | Unas formas oscuras cruzaban el cielo, muy lejos, enormes y pesadas.
burlón | Los otros sargentos de saboteadores se alejaron sin prisas, Gant ofreciéndole una carcajada burlona a Noche.
guantelete | Había perdido un guantelete, se limpió la cabeza fría.
soltar | En cuanto soltó la piedra algo cambió en los terrenos.
intención | Y no creo que tengan intención de soltar ni una cosa ni la otra.
recoger | —Manos recogió el dado de hueso.
arco | Recogió el arco y se irguió.
escudo | Espadas y escudos solo, nada de armaduras, arcos o ballestas.
apilar | Apoyaron los escudos en las maderas apiladas y cogieron las ballestas.
carga | Arrojo se asomó por encima de la carga apilada.
rugir | Con un rugido, el primero de los pelotones entró a la carga.
herida | Risueño rugió cuando cayó con todo el peso sobre la pierna herida.
brecha | Bajo Ereko se reveló una brecha, una herida en la oscuridad.
derribar | Una tropa de caballería falari llegó a la carga y pasó derribando escaramuzadores.
bestia | Si aparece la bestia, todos caeremos sobre ella y la derribaremos.
preparar | —Sube arriba y prepara a la bestia —le dijo a Nervioso.
importar | Lo que importa es que este no es vuestro sitio.
ocurrir | Lo único que importaba era lo que ocurría.
semejante | Si supieras algo de la Guardia jamás se te ocurriría semejante idea.
través | Trémula se asomó a través de una brecha en las maderas.
campamento | Parecían estar esperando algo mientras observaban el este, el campamento imperial.
dorado | la razón de que se llamaran colinas Doradas
escoltar | Los escoltaremos hasta las colinas Doradas.
grupo | La escolta de la primogenatrix rodeó a todo el grupo.
siguiente | Su mirada se posó en el siguiente hombre de la fila.
notar | Lo siguiente que Kyle notó fue su altura, apenas le llegaba a él a la barbilla.
calentar | Arrojo incluso notó el maldito caliente en las manos.
herrar | El hierro todavía está caliente de cuando lo aplastaron.
dudar | La veterana dudaba de que aquel hombre hubiera llevado tanto hierro en toda su vida.
brillar | Un brillo trémulo de aire calentado y apareció el anciano, que se inclinó.
proa | Estaba entre las olas y se apoyaba en la proa del barco.
aceptar | Entonces te haré el favor de aceptar que todo esto lleva a alguna parte…
convertir | Una mirada salvaje del antiguo sargento, convertido ya en capitán.
sospechar | Sospechaba que eso convertía a los juramentados en algo parecido a una especie extraña y aparte.
lejano | Arrojo sintió el movimiento de algo lejano que estremecía el suelo bajo sus pies.
empujar | El juramento seguía empujándolo, de eso estaba segura.
sol | El sol le calentó la espalda y pareció empujarla a continuar.
aclarar | Se aclaró la garganta en el puño izquierdo.
balar | —Demasiada amenaza, ¿eh, Bala? —dijo Heuk.
amplio | La carcajada de Bala hizo temblar su amplio pecho.
mostrar | La sonrisa de la mujer era amplia y mostraba unos dientes grandes y blancos.
puente | Los magistrados bajaron el puente con paso decidido.
mil | La sombra examinó el puente y los miles que había detrás.
según | Unos tres mil, según había oído, y quién sabía cuántos juramentados entre ellos.
información | Según nuestras informaciones cuentan con una «escolta» de más de cuatro mil hombres.
restar | El resto de la información tendría que esperar, quizá para siempre.
carta | Pero según los informes, Cogulla y los velos tienen carta blanca.
equipar | —Regalo va a recoger al resto de nuestro, eh, equipo, esta noche.
comida | ¡Tienen comida caliente, según he oído! Venga, vamos.
manta | —Peor para usted; bueno, he traído comida, mantas.
centrar | Del mismísimo centro del Imperio de Malaz.
invitar | Era obvio que estaban invitando a un ataque por el centro.
asentimiento | Un asentimiento largo y lento.
reverenciar | Recibió con un seco asentimiento la reverencia de todos.
colar | Cole los invitó a pasar con un ademán e hizo una reverencia.
arder | El humo le envolvía el pelo, que parecía arder sin llama.
escapar | De verdad esos dos podían escapar cuando lo deseasen
tambalear | Solo Temp seguía de rodillas, tambaleándose de un lado a otro y con la cabeza hundida.
armar | Un giro y el arma le colgó a la espalda.
fácil | Al fin sabía que le resultaría mucho más fácil usar el arma que llevaba al costado.
magro | —Cole —susurró—, Amatt, Magra, Negro y Turgal.
principal | —Tenemos que mantener el grupo principal contenido.
elegir | Ese hombre no estaba intentando solo matar, estaba eligiendo el objetivo
sendero | Se habían puesto en marcha por un sendero elegido.
inmediato | Bajaron de inmediato a un elegido korelri para ocupar su lugar.
comprender | —Caudillo, se comprendió desde el primer momento que no tomaríamos la ciudad de forma inmediata.
tela | Telas: el sendero de Fuego
clavar | Ullen se había apartado de la mesa y había clavado los ojos en la tela abierta.
vario | Noche se estremeció y se tambaleó cuando varios cuadrillos se clavaron en su escudo.
anillar | Cruzó el espacio que lo separaba del anillo principal.
disponer | Debería haber más, pero no es algo que ninguno de ellos parezca dispuesto a aceptar.
olvidar | Cada paso que dais os lleva más cerca del olvido que nos aguarda a todos.
alarmar | Varias manos señalaron, se dio la alarma y se dispararon ballestas.
escalera | El otro hizo un saludo militar y bajó corriendo las escaleras.
anunciar | —Muy bien —anunció desde el refugio de las escaleras—.
marinero | Subieron por las escaleras junto al marinero, que temblaba y no levantaba los ojos.
hermano | —Los barcos aguardan, hermano —anunció en taliano—.
v | —Comprendemos —dijo V’thell.
cinco | —Dejó las cinco cartas en el suelo y empezó a sacar otras y a explicarlas—.
figura | Al otro lado salían figuras de la oscuridad, cinco guardias carmesíes, todos juramentados, sin duda.
revolver | Tres figuras salieron entre el humo y el polvo revuelto: Ho sujetado por los jóvenes wickanos.
hechicero | El hechicero dobló los dedos pálidos, llamándolo.
confuso | El joven hechicero apartó la mirada del frente y por un momento pareció confuso, después sonrió.
encogimiento | Un fácil encogimiento de hombros.
pensativo | Un encogimiento de hombros lento y pensativo.
carreta | —Menor, Dulce Muchacho, sacad esta carreta de la calle.
desechar | Hojalatero se limitó a desechar la idea con un ademán y volverse hacia la carreta.
chacal | El hombre-chacal, hermano de Trake, dios de la guerra.
vigilar | puede enfrentarse a nosotros en el sur y vigilar como es debido el norte
amigo | —Uno de vuestros amigos está vigilando a mi pueblo, como debería ser —dijo Janbahashur—.
compañero | Dónde están sus amigos, sus hermanos y compañeros de armas
ceder | Las piernas de la mujer cedieron y su compañero estiró los brazos de inmediato para sostenerla.
estallido | Un grito rompió el silencio después del estallido.
corlar | Barras sorprendió a Corlo observando desde la proa.
reunido | Los oficiales reunidos y los mensajeros podían decidir si querían seguirlo o no.
vistazo | Genist les echó un vistazo a los oficiales reunidos, ninguno se reía.
tormenta | Echarle un vistazo a esa muralla de las Tormentas de la que habla todo el mundo.
gente | Juntos podemos defender a toda nuestra gente de estos ataques.
aspecto | El cielo tenía un aspecto extraño en el oeste.
oler | Rillish imaginó que su propio aspecto tenía que ser peor, desde luego olía mucho peor.
cejar | Kyle intercambió miradas con Acecho, Malas Tierras y Fochas y ladeó una ceja.
cabo | —Ah, es la cabo Talia, señor.
guiar | —Si es guía lo que desea, dile que no puedo darle nada que no tenga ya.
espíritu | Había asesinado a un espíritu que guiaba a su pueblo
queda | Te queda espíritu de lucha, por lo que veo.
completar | Déjame completar el último juramento que me queda.
instante | —¿Y ahora qué? En este camino los setis nos derribarían en un instante.
anchar | La mirada de Humo se posó un instante en la ancha espalda del hombre de proa.
bigote | Un ancho bigote negro le ocultaba por completo la boca.
ambo | El bigote blanco le colgaba a ambos lados de la boca crispada.
cuarto | Creemos que esta noche, antes del amanecer, el cuarto anillo caerá.
personal | Justo lo que los imperiales de su personal necesitaban oír.
exhalar | Un miembro de su personal se aclaró la garganta y Ullen apretó los labios y exhaló.
bocanada | —Exhaló una bocanada de aire larga y lenta—.
sinuoso | Sinuoso exhaló una larga y pensativa bocanada de aire.
deslizar | Sinuoso le abrió la armadura y le deslizó una mano por el costado—.
regular | La falta de espacio personal entre los regulares fue lo primero que sorprendió a Ghelel.
pozo | Al llegar al final del pozo, Noche fue subiendo para deslizarse fuera.
apretado | La mujer siseó una larga bocanada a través de los dientes apretados.
devolver | Le ofreció una sonrisa burlona a Harmin, que se la devolvió con los dientes apretados.
caos | Lo propio es que yo os devuelva una muestra de ese caos
abismar | Metiéndome en el abismo, o la brecha del propio Caos.
capaz | —Dile que mantenga a esos chamanes setis tan lejos como sea capaz.
cinturón | Manos se quitó los guanteletes del cinturón.
flotar | Mientras se alejaban flotando, Arrojo la oyó exclamar algo tras ellos.
oscurecer | Las olas los mantuvieron a flote y oscurecieron los cueros de Viajero.
tallar | La sangre oscurecía de carmesí las piedras talladas del puente.
llanura | Que mientras duren las llanuras, él seguirá vivo.
trepar | Después de trepar la ladera llegaron a las llanuras del norte.
trinchera | Los dos salieron trepando de la trinchera.
extender | El hombre estaba examinando el oscuro campo que se extendía ante la trinchera.
envainar | Un cuchillo largo envainado permanecía metido en el cinturón.
suerte | Cualquier idiota puede tener un golpe de suerte con un arco.
acompañar | Deseó a Urko que lo acompañara la suerte con su frente de escaramuzadores.
recado | Se mandará recado una vez que la flota esté en mar abierto.
brillante | Hicieron girar las monturas unos junto a otros, las espadas brillantes bajo la luz fría.
dispersar | Permitieron que pasaran nuestros dos barcos, pero al resto los dispersaron.
nube | Después pasaron las nubes y las sombras se dispersaron.
gruesa | Los cielos se oscurecieron, las nubes bajas y gruesas se revolvieron.
manchar | Otra mancha o nube oscura ocultaba el centro.
irregular | Todos los juramentados retrocedieron en esa mancha irregular y desaparecieron, dos sujetando a Despellejador.
gemir | Más abajo, en la amplia llanura abierta se alzó un gran gemido entre los irregulares untan.
iluminar | La luz irregular de los fuegos iluminaba las calles.
municionar | Hay moranthianos caídos ahí fuera y esos idiotas de irregulares están recogiendo las municiones.
bolsa | Arrastraba las bolsas de municiones a ambos lados.
bota | —Molk se arrodilló, revolvió en las bolsas y sacó una bota de agua.
estallar | Se sacó una pequeña bota de agua del cinturón, vio que había estallado y la tiró—.
volar | Volaban los cuadrillos de ballesta, estallaban en el aire y hacían agacharse a Noche.
llama | Al instante, su sobrevesta estalló en llamas.
pedazo | Habían volado en pedazos la puerta exterior.
roco | Las llamas salieron disparadas de las manos por la roca húmeda.
arrancar | Uno de estos días, Manos, te voy a arrancar esas viejas botas.
apuntar | Regalo le arrancó la lanza al más cercano y apuntó con ella a Yath.
sólido | Arrojo lo ayudó a levantarse y tuvo que gemir bajo el peso sólido del veterano.
cometer | En un momento dado un escudo salió volando por los aires como una cometa.
caja | Arrojo estudió las cajas apiladas unas encima de otras, posible.
botar | —Cogió la bolsa que habían tirado y corrió a buscar un bote.
retaguardia | ¡Estaba ganando terreno! La tierra iba cayendo cada vez más cerca, avanzando sobre su retaguardia.
lanza | Las filas de la retaguardia retrocedieron con las lanzas levantadas, observándolos con atención mientras se alejaban.
significar | —Significa que puede que estén aquí para intentar tomar Li Heng.
mierda | —Mi nombre no significaría una mierda para ti.
mañana | —Pues haznos un favor y déjalo para mañana —rezongó Risueño por lo bajo.
general | V’thell se inclinó ante el general.
multitud | Zarigüeya se apoyó en el muro, de cara a las espaldas de la multitud.
dedicar | Todo a lo que habían dedicado sus vidas y sus muertes.
aliviar | Le alivió ver que Nada le ofrecía una sonrisa conocida.
joder | ¡Tan rápido! Y además maga, y muy buena, joder.
ascua | No necesitan ningún jodido puente de la jodida Ascua.
helar | —¡Ascua nos libre, muchacho! No debemos tocar ese hielo.
posibilidad | —Despellejador desechó la posibilidad con un ademán—.
mandíbula | —Creí que los setis estaban todos con el chacal —le susurró Mandíbula a Noche.
crujir | Movió las mandíbulas, que crujieron y estallaron y, de algún modo, Kyle comprendió sus palabras.
silla | Arrojo se volvió para mirar atrás, el cuero de su silla crujió.
retorcer | La pierna le gritaba de dolor y lo hacía retorcerse en la silla.
carrero | Ogilvy se acercó a la carrera, una sonrisa llena de dientes retorcía su cara redonda.
funcionar | Las mandíbulas del mensajero se pusieron a funcionar cuando se tragó el resto de sus palabras.
zanjar | Zanja se acercó a la carrera.
conmocionar | La multitud que los rodeaba se tensó, conmocionada, y retrocedió un paso para dejar más espacio.
reinar | —¡Que la Reina lo lleve! —Penas se había levantado.
ancestral | Todo en el nombre de la diosa ancestral de ese reino, la reina Ardata.
viejo | Choss, vieja guardia malazana, antiguo puño supremo
historiar | Es una vieja historia, una historia que esperaba haber dejado atrás.
vencer | ¡Vencer! Ya habrá tiempo de sobra después para rescribir la historia y quedar bien.
niño | Era la segunda vez que esa niña-mujer lo vencía.
estómago | Entonces el hombre se inclinó con un brazo en el estómago y el otro extendido.
flanco | Sus espadas encontraron el flanco oeste hecho pedazos.
sudoroso | A su lado, era a Acecho al que le costaba respirar y tenía el rostro sudoroso.
fullero | Zarigüeya miró a un lado: cuatro saboteadores lo apuntaban con ballestas; en cada una, un fullero—.
jadear | Al verlo despierto, un marinero se acercó secándose la frente y jadeando.
vivar | Cuando pase todo, mujer, si todavía sigues viva… te mataré con mis propias manos.
gigante | —En la Guardia oí hablar de gigantes que viven en Stratem.
sacudida | El gigante dio una sacudida seca a la cabeza.
brusco | —Humo alentó a Ogilvy a adelantarse con una brusca sacudida de la cabeza.
extranjere | Todos ellos se habían ido a luchar en guerras extranjeras y muy pocos habían regresado.
mente | —Bueno, ¿quién puede decirlo? Sus mentes trabajan de formas extrañas.
resto | ¿En serio? Melena Gris… —Examinó los restos, pero era obvio que su mente estaba muy lejos.
problema | —Quiero decir que podría hacer caer todo tipo de problemas sobre nuestras cabezas.
rango | Cree que el rango es un problema.
noble | Miembros del personal militar, soldados de alto rango y nobles iban y venían.
familia | La caballería imperial (muchos luciendo los estandartes de sus propias familias nobles) se ponía en marcha.
pronto | ¿Quién es? ¿La familia Adal llega pronto de Tali? Debería cambiarme.
tirón | Apartó la mano de un tirón, alarmado.
rodar | Arrojo agachó la cabeza, ¡el tirón de la Señora! Rodó de espaldas.
inclinación | El caudillo le dedicó a Arrojo una pequeña inclinación.
media | Tras una especie de media inclinación, Noche empezó a bajar la ladera.
demás | Un hombre para el que las vidas de los demás no significaban nada.
lluvia | Y con la lluvia, la oscuridad y demás, fue fácil.
espumar | Entre la espuma distinguió a varios jinetes que rodeaban el barco.
estrechar | La espuma del estrecho volvió a recuperar todo su poder.
nariz | Pero la nariz era demasiado larga, la cabeza demasiado estrecha.
arrugar | Arrugó la nariz… con todo, la verdad era que olía a mierda.
asunto | Mejor mantenía las narices fuera de ese tipo de asuntos.
roncar | —¿Tú eres el explorador Kyle? —chilló el mago con voz ronca.
tratar | —No des las gracias por un trato justo —fue el susurro ronco—.
advertir | —Será mejor que sea bueno —advirtió, la voz ronca de gritar órdenes—.
término | Pero te lo advierto, es posible que pida ciertos términos.
cumplir | —Hablo ahora porque los términos de mi acuerdo con mi amigo ya se han cumplido.
manchado | May se acercó corriendo, encorvada, las manos manchadas de sangre de tratar heridas.
túnica | Tras un rato, el tipo bajó la suya y se la limpió en las túnicas manchadas.
barro | Una túnica desgarrada llena de barro.
desmontar | —Un hombre desmontó, sus botas golpearon el barro.
peligroso | Dígales que los setis advierten de una presencia peligrosa en la noche.
bruja | Tengo entendido que hay muchas brujas y hechiceros entre los wickanos.
contemplar | El brujo había echado la cabeza hacia atrás para contemplar las nubes.
rogar | Las voces rogaban agua, un alivio.
liberar | Lo sé porque si tuvieras la menor idea, ya habrías venido a rogarme que te liberara.
jugar | Así que él les seguiría el juego en aquella historia.
ritual | Llevaremos a cabo un ritual para movernos por sendas con el barco.
muelle | Las llamas envolvían los muelles de Kurzan.
miedo | Por supuesto no mostraba miedo alguno, pero Ereko estaba preocupado.
quietar | —Y se alejó otra vez, llevaba quieto en un solo sitio tiempo suficiente.
recién | Liossercal se quedó quieto y se volvió poco a poco hacia el recién llegado.
árbol | Lo que esos árboles son para el Azath, lo mismo es este bosque para Sombra.
estrépito | Sacaron las armas con un estrépito de hierro que resonó por toda la línea de árboles.
chocar | Un choque y el estrépito del hierro en las piedras revelaron una garganta o ladera cercana.
navío | El otro navío chocó con el suyo.
abandonar | El navío abandonado no tardó en hundirse.
rondar | Se decía que iban a abandonar toda la ronda Exterior.
torrar | —Escupió por el borde de la torre junto a la puerta Sur de la ronda Exterior—.
gruñido | Volvieron a chocar, con gruñidos de esfuerzo y golpes capaces de derribar árboles.
